ID,Course,Format,Start date,Age C,Created Date,Close Date,Lost Deal Reason C,Contact C,Is Won,Scholarship Name C,Drop,Campaign ID,Days From Last Touch Point C,Days Until Closure C,Discount Name C,Drop Reason C,Lost Reason Notes C,Hours Before First Touch Point C,First Touch Point Type C,First Touch Point Date C,First Offer Date C,Cov ID Discount C,Fiscal Year,Financing Options C,Need Financing C,Is Closed,Is Private,Interest C,Ga Connector Browser C,Ga Connector First Click Campaign C,Ga Connector First Click Channel C,Ga Connector First Click Source C,Ga Connector First Click Landing Page C,Ga Connector First Click Content C,Days For First Touch Point C,Ga Connector First Click Re Ferrer C,Ga Connector Google Analytics Link C,Ga Connector Last Click Campaign C,Ga Connector Last Click Channel C,Ga Connector Last Click Content C,Ga Connector Last Click Landing Page C,Ga Connector Last Click Medium C,Ga Connector Last Click Source C,Financing Option Discount C,Leads Ource,Lead Source C C,Technical Interview Date C,Qualified C,Media Event C,Payment Plan C,Partnership Discount Amount C
0011t00000dX3JLAA0,DA,PT,16/06/2020,,27/02/2020,44124,Missed in application,0031t00000b5bBjAAI,FALSE,Vinted,FALSE,,225,236,Women,,,1321.41,Call,43943,,FALSE,2020,,,TRUE,FALSE,,,,,,,,55.06,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,Vinted,,TRUE,,,
0011t00000dx7kTAAQ,DA,PT,16/06/2020,,10/12/2019,43867,,0031t00000bYjevAAC,TRUE,EA Sims,TRUE,,315,58,Other,Got a job,,,,,,FALSE,2020,,,TRUE,FALSE,,,,,,,,,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,EA Sims,,TRUE,,Upfront Payment,
0011t00000dxuRgAAI,WD,PT,16/06/2020,,14/02/2020,43875,Missed in application,0031t00000ba7yBAAQ,FALSE,,FALSE,,285,0,,,no replies,126.66,Call,43880,,FALSE,2020,,,TRUE,FALSE,,,,,,,,5.28,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,Others,,FALSE,,,
0011t00000dy9pvAAA,UX,FT,13/01/2020,,23/06/2019,43717,,0031t00000bahk1AAA,TRUE,,FALSE,,543,78,,,,,,,,FALSE,2019,,,TRUE,FALSE,UXFT,,,,,,,,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,Facebook,Others,,TRUE,,F - Quotanda,
0011t00000dynP9AAI,UX,PT,17/03/2020,,22/01/2020,43852,Missed in application,0031t00000cdPezAAE,FALSE,,FALSE,,313,0,,,no reply email & telf not real,980.97,Call,43893,,TRUE,2020,,,TRUE,FALSE,,,,,,,,40.87,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,Others,,FALSE,,,
0011t00000fmazHAAQ,DA,PT,16/06/2020,,27/02/2020,44124,Missed in application,0031t00000dZtb6AAC,FALSE,Vinted,FALSE,,,236,Women,,,,,,,FALSE,2020,,,TRUE,FALSE,,,,,,,,,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,Vinted,,TRUE,,,
0011t00000fmazHAAQ,UX,FT,17/02/2020,,18/01/2020,43848,Fake application,0031t00000dZtb6AAC,FALSE,,FALSE,,311,0,,,fake application,,,,,FALSE,2020,,,TRUE,FALSE,,,,,,,,,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,Others,,FALSE,,,
0011t00000gXImuAAG,DA,FT,12/01/2020,,05/07/2019,43651,Missed in application,0031t00000eVPIHAA4,FALSE,,FALSE,,423,0,,,no reply,,,,,FALSE,2019,,No,TRUE,FALSE,,,,,,,,,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,Others,,TRUE,,,
0011t00000gYkZTAA0,WD,FT,19/10/2020,,10/07/2019,43766,,0031t00000frileAAA,TRUE,,FALSE,,241,110,Other,,,,,,,FALSE,2019,,,TRUE,FALSE,WDFT,,,,,,,,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,Others,,TRUE,,Upfront Payment,
0011t00000HKqhmAAD,WD,PT,17/03/2020,,16/12/2019,43893,Missed in application,0031t00000DTBClAAP,FALSE,EA Sims,FALSE,,,77,Women,,,,,,,TRUE,2020,,,TRUE,FALSE,,,,,,,,,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,EA Sims,,TRUE,,,
0011t00000HKqnVAAT,UX,FT,17/02/2020,,14/12/2019,43893,Missed in application,0031t00000DTBIUAA5,FALSE,EA Sims,FALSE,,,80,,,,,,,,FALSE,2020,,,TRUE,FALSE,,,,,,,,,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,EA Sims,,TRUE,,,
0011t00000HKqoNAAT,WD,FT,13/01/2020,,29/10/2019,43798,Missed in application,0031t00000DTBJNAA5,FALSE,,FALSE,,391,31,,,,,,,,FALSE,2019,,,TRUE,FALSE,,,,,,,,,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,Others,,FALSE,,,
0011t00000HKqqMAAT,DA,FT,30/03/2020,,18/02/2020,43907,,0031t00000DTBLMAA5,TRUE,,FALSE,,334,28,,,,,,,,TRUE,2020,,,TRUE,FALSE,DAFT,,BCN_app_campus_brand_GA_ES,Pay-Per-Click,google,https://www.ironhack.com/es/barcelona?utm_source,(not set),,https://www.google.com/,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",BCN_app_campus_brand_GA_ES,Pay-Per-Click,(not set),https://www.ironhack.com/es/barcelona?utm_source,cpc,google,,google-sea,Others,,TRUE,,Upfront Payment - Sabadell,
0011t00000HKqtrAAD,UX,FT,30/03/2020,,21/03/2020,43915,,0031t00000DTBOrAAP,TRUE,,FALSE,,312,4,,,,49.28,Call,43913,,TRUE,2020,,,TRUE,FALSE,,,,,,,,2.05,,"<a href=""https://analytics.google.com/analytics/web/#report/visitors-user-activity/a72840801w110617423p115383936/%3F_r.userId%3D%26_r.userListReportStates%3D%26_r.userListReportId%3Dvisitors-legacy-user-id/"" target=""_blank"">Open in Google Analytics</a>",,,,,,,,,Others,,TRUE,,Upfront Payment,
